Class Name,Registered Name
buildcraftAdditions.tileEntities.TileChargingStation,TileChargingStation
buildcraftAdditions.tileEntities.TileCoolingTower,CoolingTower
buildcraftAdditions.tileEntities.TileFluidicCompressor,TileFluidicCompressor
buildcraftAdditions.tileEntities.TileHeatedFurnace,TileHeatedFurnace
buildcraftAdditions.tileEntities.TileItemSorter,ItemSorter
buildcraftAdditions.tileEntities.TileKEBT2,TileKineticEnergyBufferTier2
buildcraftAdditions.tileEntities.TileKEBT3,TileKineticEnergyBufferTier3
buildcraftAdditions.tileEntities.TileKineticCoil,TileCoilKinetic
buildcraftAdditions.tileEntities.TileKineticDuster,TileKineticDuster
buildcraftAdditions.tileEntities.TileKineticEnergyBufferTier1,TileKineticEnergyBufferTier1
buildcraftAdditions.tileEntities.TileLavaCoil,TileCoilLava
buildcraftAdditions.tileEntities.TileMechanicalDuster,TileMechanicalDuster
buildcraftAdditions.tileEntities.TileRefinery,TileRefinery
buildcraftAdditions.tileEntities.TileSemiAutomaticDuster,TileSemiAutomaticDuster
chylex.hee.tileentity.TileEntityAccumulationTable,HardcoreEnderExpansion:AccumulationTable
chylex.hee.tileentity.TileEntityCustomSpawner,HardcoreEnderExpansion:EndermanSpawner
chylex.hee.tileentity.TileEntityDecompositionTable,HardcoreEnderExpansion:DecompositionTable
chylex.hee.tileentity.TileEntityEndermanHead,HardcoreEnderExpansion:EndermanHead
chylex.hee.tileentity.TileEntityEnergyCluster,HardcoreEnderExpansion:EnergyCluster
chylex.hee.tileentity.TileEntityEnhancedBrewingStand,HardcoreEnderExpansion:EnhancedBrewingStand
chylex.hee.tileentity.TileEntityEnhancedTNT,HardcoreEnderExpansion:EnhancedTNT
chylex.hee.tileentity.TileEntityEssenceAltar,HardcoreEnderExpansion:EssenceAltar
chylex.hee.tileentity.TileEntityExperienceTable,HardcoreEnderExpansion:ExperienceTable
chylex.hee.tileentity.TileEntityExtractionTable,HardcoreEnderExpansion:EnergyExtractionTable
chylex.hee.tileentity.TileEntityLaserBeam,HardcoreEnderExpansion:LaserBeam
chylex.hee.tileentity.TileEntityTransportBeacon,HardcoreEnderExpansion:TransportBeacon
chylex.hee.tileentity.TileEntityVoidChest,HardcoreEnderExpansion:VoidChest
ckathode.archimedes.blockitem.TileEntityCrate,archiCrate
ckathode.archimedes.blockitem.TileEntityEngine,archiEngine
ckathode.archimedes.blockitem.TileEntityGauge,archiGauge
ckathode.archimedes.blockitem.TileEntityHelm,archiHelm
codechicken.chunkloader.TileChunkLoader,ChickenChunkLoader
codechicken.chunkloader.TileSpotLoader,ChickenSpotLoader
codechicken.enderstorage.storage.item.TileEnderChest,Ender Chest
codechicken.enderstorage.storage.liquid.TileEnderTank,Ender Tank
codechicken.translocator.TileCraftingGrid,craftingGrid
codechicken.translocator.TileItemTranslocator,itemTranslocator
codechicken.translocator.TileLiquidTranslocator,liquidTranslocator
cofh.thermaldynamics.duct.TileStructuralDuct,thermaldynamics.StructuralDuct
cofh.thermaldynamics.duct.energy.TileEnergyDuct,thermaldynamics.FluxDuct
cofh.thermaldynamics.duct.energy.TileEnergyDuctSuperConductor,thermaldynamics.FluxDuctSuperConductor
cofh.thermaldynamics.duct.fluid.TileFluidDuct,thermaldynamics.FluidDuct
cofh.thermaldynamics.duct.fluid.TileFluidDuctFlux,thermaldynamics.FluidDuctFlux
cofh.thermaldynamics.duct.fluid.TileFluidDuctFragile,thermaldynamics.FluidDuctFragile
cofh.thermaldynamics.duct.item.TileItemDuct,thermaldynamics.ItemDuct
cofh.thermaldynamics.duct.item.TileItemDuctEnder,thermaldynamics.ItemDuctEnder
cofh.thermaldynamics.duct.item.TileItemDuctFlux,thermaldynamics.ItemDuctFlux
cofh.thermalexpansion.block.cache.TileCache,thermalexpansion.Cache
cofh.thermalexpansion.block.cell.TileCell,thermalexpansion.Cell
cofh.thermalexpansion.block.cell.TileCellCreative,thermalexpansion.CellCreative
cofh.thermalexpansion.block.device.TileActivator,thermalexpansion.Activator
cofh.thermalexpansion.block.device.TileBreaker,thermalexpansion.Breaker
cofh.thermalexpansion.block.device.TileNullifier,thermalexpansion.Nullifier
cofh.thermalexpansion.block.device.TileWorkbench,thermalexpansion.Workbench
cofh.thermalexpansion.block.dynamo.TileDynamoCompression,thermalexpansion.DynamoCompression
cofh.thermalexpansion.block.dynamo.TileDynamoEnervation,thermalexpansion.DynamoEnervation
cofh.thermalexpansion.block.dynamo.TileDynamoMagmatic,thermalexpansion.DynamoMagmatic
cofh.thermalexpansion.block.dynamo.TileDynamoReactant,thermalexpansion.DynamoReactant
cofh.thermalexpansion.block.dynamo.TileDynamoSteam,thermalexpansion.DynamoSteam
cofh.thermalexpansion.block.ender.TileTesseract,thermalexpansion.Tesseract
cofh.thermalexpansion.block.light.TileLight,thermalexpansion.Light
cofh.thermalexpansion.block.light.TileLightFalse,thermalexpansion.LightFalse
cofh.thermalexpansion.block.machine.TileAccumulator,thermalexpansion.Accumulator
cofh.thermalexpansion.block.machine.TileAssembler,thermalexpansion.Assembler
cofh.thermalexpansion.block.machine.TileCharger,thermalexpansion.Charger
cofh.thermalexpansion.block.machine.TileCrucible,thermalexpansion.Crucible
cofh.thermalexpansion.block.machine.TileExtruder,thermalexpansion.Extruder
cofh.thermalexpansion.block.machine.TileFurnace,thermalexpansion.Furnace
cofh.thermalexpansion.block.machine.TileInsolator,thermalexpansion.Insolator
cofh.thermalexpansion.block.machine.TilePrecipitator,thermalexpansion.Precipitator
cofh.thermalexpansion.block.machine.TilePulverizer,thermalexpansion.Pulverizer
cofh.thermalexpansion.block.machine.TileSawmill,thermalexpansion.Sawmill
cofh.thermalexpansion.block.machine.TileSmelter,thermalexpansion.Smelter
cofh.thermalexpansion.block.machine.TileTransposer,thermalexpansion.Transposer
cofh.thermalexpansion.block.plate.TilePlateBase,cofh.thermalexpansion.PlateFrame
cofh.thermalexpansion.block.plate.TilePlateImpulse,cofh.thermalexpansion.PlateImpulse
cofh.thermalexpansion.block.plate.TilePlateSignal,cofh.thermalexpansion.PlateSignal
cofh.thermalexpansion.block.plate.TilePlateTranslocate,cofh.thermalexpansion.PlateTranslocate
cofh.thermalexpansion.block.sponge.TileSponge,thermalexpansion.Sponge
cofh.thermalexpansion.block.sponge.TileSpongeCreative,thermalexpansion.SpongeCreative
cofh.thermalexpansion.block.sponge.TileSpongeMagmatic,thermalexpansion.SpongeMagmatic
cofh.thermalexpansion.block.strongbox.TileStrongbox,thermalexpansion.Strongbox
cofh.thermalexpansion.block.strongbox.TileStrongboxCreative,thermalexpansion.StrongboxCreative
cofh.thermalexpansion.block.tank.TileTank,thermalexpansion.Tank
cofh.thermalexpansion.block.tank.TileTankCreative,thermalexpansion.TankCreative
com.aesireanempire.eplus.inventory.TileEnchantTable,eplus:TileEnchantTable
com.brandon3055.draconicevolution.common.tileentities.TileCKeyStone,draconicevolution:TileCKeyStone
com.brandon3055.draconicevolution.common.tileentities.TileCustomSpawner,draconicevolution:TileCustomSpawner
com.brandon3055.draconicevolution.common.tileentities.TileDissEnchanter,draconicevolution:TileDissEnchanter
com.brandon3055.draconicevolution.common.tileentities.TileDraconiumChest,draconicevolution:TileDraconiumChest
com.brandon3055.draconicevolution.common.tileentities.TileEnergyInfuser,draconicevolution:TileEnergyInfuser
com.brandon3055.draconicevolution.common.tileentities.TileGenerator,draconicevolution:TileGenerator
com.brandon3055.draconicevolution.common.tileentities.TileGrinder,draconicevolution:TileGrinder
com.brandon3055.draconicevolution.common.tileentities.TileParticleGenerator,draconicevolution:TileParticleGenerator
com.brandon3055.draconicevolution.common.tileentities.TilePlacedItem,draconicevolution:TilePlacedItem
com.brandon3055.draconicevolution.common.tileentities.TilePlayerDetector,draconicevolution:TilePlayerDetector
com.brandon3055.draconicevolution.common.tileentities.TilePlayerDetectorAdvanced,draconicevolution:TilePlayerDetectorAdvanced
com.brandon3055.draconicevolution.common.tileentities.TilePotentiometer,draconicevolution:TilePotentiometer
com.brandon3055.draconicevolution.common.tileentities.TileSunDial,draconicevolution:TileSunDial
com.brandon3055.draconicevolution.common.tileentities.TileTeleporterStand,draconicevolution:TileTeleporterStand
com.brandon3055.draconicevolution.common.tileentities.TileWeatherController,draconicevolution:TileWeatherController
com.brandon3055.draconicevolution.common.tileentities.energynet.TileEnergyRelay,draconicevolution:TileEnergyRelay
com.brandon3055.draconicevolution.common.tileentities.energynet.TileEnergyTransceiver,draconicevolution:TileEnergyTransceiver
com.brandon3055.draconicevolution.common.tileentities.energynet.TileWirelessEnergyTransceiver,draconicevolution:TileWirelessEnergyTransceiver
com.brandon3055.draconicevolution.common.tileentities.multiblocktiles.TileEnderResurrection,draconicevolution:TileEnderResurrection
com.brandon3055.draconicevolution.common.tileentities.multiblocktiles.TileEnergyPylon,draconicevolution:TileEnergyPylon
com.brandon3055.draconicevolution.common.tileentities.multiblocktiles.TileEnergyStorageCore,draconicevolution:TileEnergyStorageCore
com.brandon3055.draconicevolution.common.tileentities.multiblocktiles.TileInvisibleMultiblock,draconicevolution:TileInvisibleMultiblock
com.carpentersblocks.tileentity.TEBase,TileEntityCarpentersBlock
com.carpentersblocks.tileentity.TECarpentersDaylightSensor,TileEntityCarpentersDaylightSensor
com.carpentersblocks.tileentity.TECarpentersFlowerPot,TileEntityCarpentersFlowerPot
com.carpentersblocks.tileentity.TECarpentersSafe,TileEntityCarpentersSafe
com.carpentersblocks.tileentity.TECarpentersTorch,TileEntityCarpentersTorch
com.cricketcraft.chisel.block.tileentity.TileEntityAutoChisel,autoChisel
com.cricketcraft.chisel.block.tileentity.TileEntityPresent,tile.chisel.present
com.draco18s.artifacts.entity.TileEntityAntibuilder,artifacts.antibuilder
com.draco18s.artifacts.entity.TileEntityDisplayPedestal,artifacts.pedestal
com.draco18s.artifacts.entity.TileEntitySpikes,artifacts.spiketrap
com.draco18s.artifacts.entity.TileEntitySword,artifacts.tesword
com.draco18s.artifacts.entity.TileEntityTrap,artifacts.arrowtrap
com.dynious.refinedrelocation.tileentity.TileAdvancedBlockExtender,advancedBlockExtender
com.dynious.refinedrelocation.tileentity.TileAdvancedBuffer,advancedBuffer
com.dynious.refinedrelocation.tileentity.TileAdvancedFilteredBlockExtender,advancedFilteredBlockExtender
com.dynious.refinedrelocation.tileentity.TileBlockExtender,blockExtender
com.dynious.refinedrelocation.tileentity.TileBuffer,buffer
com.dynious.refinedrelocation.tileentity.TileFilteredBlockExtender,filteredBlockExtender
com.dynious.refinedrelocation.tileentity.TileFilteredBuffer,filteredBuffer
com.dynious.refinedrelocation.tileentity.TileFilteringHopper,filteringHopper
com.dynious.refinedrelocation.tileentity.TileMESortingInterface,MESortingInterface
com.dynious.refinedrelocation.tileentity.TilePowerLimiter,powerLimiter
com.dynious.refinedrelocation.tileentity.TileRelocationController,relocationController
com.dynious.refinedrelocation.tileentity.TileRelocationPortal,relocationPortal
com.dynious.refinedrelocation.tileentity.TileRelocator,relocator
com.dynious.refinedrelocation.tileentity.TileSortingBarrel,sortingBarrel
com.dynious.refinedrelocation.tileentity.TileSortingChest,sortingChest
com.dynious.refinedrelocation.tileentity.TileSortingConnector,sortingConnector
com.dynious.refinedrelocation.tileentity.TileSortingImporter,sortingImporter
com.dynious.refinedrelocation.tileentity.TileSortingInterface,sortingInterface
com.dynious.refinedrelocation.tileentity.TileSortingIronChest,sortingIronChest
com.dynious.refinedrelocation.tileentity.TileWirelessBlockExtender,wirelessBlockExtender
com.emoniph.witchery.blocks.BlockAlluringSkull$TileEntityAlluringSkull,witchery:alluringskull
com.emoniph.witchery.blocks.BlockAltar$TileEntityAltar,witchery:altar
com.emoniph.witchery.blocks.BlockAreaMarker$TileEntityAreaCurseProtect,witchery:decursedirected
com.emoniph.witchery.blocks.BlockAreaMarker$TileEntityAreaTeleportPullProtect,witchery:decurseteleport
com.emoniph.witchery.blocks.BlockBarrier$TileEntityBarrier,witchery:barrier
com.emoniph.witchery.blocks.BlockBeartrap$TileEntityBeartrap,witchery:wolftrap
com.emoniph.witchery.blocks.BlockBloodCrucible$TileEntityBloodCrucible,witchery:bloodcrucible
com.emoniph.witchery.blocks.BlockBloodRose$TileEntityBloodRose,witchery:bloodrose
com.emoniph.witchery.blocks.BlockBrazier$TileEntityBrazier,witchery:brazier
com.emoniph.witchery.blocks.BlockCandelabra$TileEntityCandelabra,witchery:candelabra
com.emoniph.witchery.blocks.BlockChalice$TileEntityChalice,witchery:chalice
com.emoniph.witchery.blocks.BlockCircle$TileEntityCircle,witchery:circle
com.emoniph.witchery.blocks.BlockCoffin$TileEntityCoffin,witchery:coffinblock
com.emoniph.witchery.blocks.BlockCrystalBall$TileEntityCrystalBall,witchery:crystalball
com.emoniph.witchery.blocks.BlockDemonHeart$TileEntityDemonHeart,witchery:demonheart
com.emoniph.witchery.blocks.BlockDistillery$TileEntityDistillery,witchery:distilleryidle
com.emoniph.witchery.blocks.BlockDreamCatcher$TileEntityDreamCatcher,witchery:dreamcatcher
com.emoniph.witchery.blocks.BlockFetish$TileEntityFetish,witchery:witchsladder
com.emoniph.witchery.blocks.BlockFumeFunnel$TileEntityFumeFunnel,witchery:fumefunnel
com.emoniph.witchery.blocks.BlockGarlicGarland$TileEntityGarlicGarland,witchery:garlicgarland
com.emoniph.witchery.blocks.BlockGrassper$TileEntityGrassper,witchery:grassper
com.emoniph.witchery.blocks.BlockKettle$TileEntityKettle,witchery:kettle
com.emoniph.witchery.blocks.BlockLeechChest$TileEntityLeechChest,witchery:leechchest
com.emoniph.witchery.blocks.BlockMirror$TileEntityMirror,witchery:mirrorblock2
com.emoniph.witchery.blocks.BlockPlacedItem$TileEntityPlacedItem,witchery:placeditem
com.emoniph.witchery.blocks.BlockPoppetShelf$TileEntityPoppetShelf,witchery:poppetshelf
com.emoniph.witchery.blocks.BlockRefillingChest$TileEntityRefillingChest,witchery:refillingchest
com.emoniph.witchery.blocks.BlockSilverVat$TileEntitySilverVat,witchery:silvervat
com.emoniph.witchery.blocks.BlockSpinningWheel$TileEntitySpinningWheel,witchery:spinningwheel
com.emoniph.witchery.blocks.BlockStatueGoddess$TileEntityStatueGoddess,witchery:statuegoddess
com.emoniph.witchery.blocks.BlockStatueOfWorship$TileEntityStatueOfWorship,witchery:statueofworship
com.emoniph.witchery.blocks.BlockStatueWerewolf$TileEntityStatueWerewolf,witchery:wolfaltar
com.emoniph.witchery.blocks.BlockVoidBramble$TileEntityVoidBramble,witchery:voidbramble
com.emoniph.witchery.blocks.BlockWitchesOven$TileEntityWitchesOven,witchery:witchesovenidle
com.emoniph.witchery.blocks.BlockWolfHead$TileEntityWolfHead,witchery:wolfhead
com.emoniph.witchery.brewing.BlockSlurp$TileEntitySlurp,witchery:slurp
com.emoniph.witchery.brewing.TileEntityBrewFluid,witchery:brewliquid
com.emoniph.witchery.brewing.TileEntityCauldron,witchery:cauldron
com.emoniph.witchery.brewing.TileEntityCursedBlock,witchery:cbuttonstone
com.emoniph.witchery.worldgen.WorldHandlerVillageDistrict$Wall$BlockVillageWallGen$TileEntityVillageWallGen,witchery:wallgen
com.jaquadro.minecraft.gardencontainers.block.tile.TileEntityDecorativePot,GardenContainers:decorative_pot
com.jaquadro.minecraft.gardencontainers.block.tile.TileEntityLargePot,GardenContainers:large_pot_colored
com.jaquadro.minecraft.gardencontainers.block.tile.TileEntityMediumPot,GardenContainers:medium_pot_colored
com.jaquadro.minecraft.gardencontainers.block.tile.TileEntityPotteryTable,GardenContainers:pottery_table
com.jaquadro.minecraft.gardencontainers.block.tile.TileEntityWindowBox,GardenContainers:wood_window_box
com.jaquadro.minecraft.gardencore.block.tile.TileEntityCompostBin,GardenCore:compost_bin
com.jaquadro.minecraft.gardencore.block.tile.TileEntityGardenFarmland,GardenCore:garden_farmland
com.jaquadro.minecraft.gardencore.block.tile.TileEntityGardenSoil,GardenCore:garden_soil
com.jaquadro.minecraft.gardenstuff.block.tile.TileEntityBloomeryFurnace,GardenStuff:bloomery_furnace
com.jaquadro.minecraft.gardenstuff.block.tile.TileEntityLantern,GardenStuff:lantern
com.jaquadro.minecraft.gardenstuff.block.tile.TileEntityLatticeMetal,GardenStuff:lattice
com.jaquadro.minecraft.gardenstuff.block.tile.TileEntityLatticeWood,GardenStuff:lattice_wood
com.jaquadro.minecraft.gardentrees.block.tile.TileEntityWoodProxy,GardenTrees:thin_log
com.mia.props.TileProps,TileProps
com.mia.props.entities.TileBed,com.mia.props.entities.TileBed
com.mia.props.entities.TileCandleStick,com.mia.props.entities.TileCandleStick
com.mia.props.entities.TileCandleWall,com.mia.props.entities.TileCandleWall
com.mia.props.entities.TileChair,com.mia.props.entities.TileChair
com.mia.props.entities.TileChandelier,com.mia.props.entities.TileChandelier
com.mia.props.entities.TileChemistrySet,com.mia.props.entities.TileChemistrySet
com.mia.props.entities.TileContainer,com.mia.props.entities.TileContainer
com.mia.props.entities.TileCrystalChandelier,com.mia.props.entities.TileCrystalChandelier
com.mia.props.entities.TileKitchenFaucetInward,com.mia.props.entities.TileKitchenFaucetInward
com.mia.props.entities.TileKitchenFaucetOutward,com.mia.props.entities.TileKitchenFaucetOutward
com.mia.props.entities.TileShowerHandles,com.mia.props.entities.TileShowerHandles
com.mia.props.entities.TileShowerHead,com.mia.props.entities.TileShowerHead
com.mia.props.entities.TileSinkFaucetInward,com.mia.props.entities.TileSinkFaucetInward
com.mia.props.entities.TileSinkFaucetOutward,com.mia.props.entities.TileSinkFaucetOutward
com.mia.props.entities.TileSwitchableLamp,com.mia.props.entities.TileSwitchableLamp
com.mia.props.entities.TileTubFaucet,com.mia.props.entities.TileTubFaucet
com.pam.harvestcraft.TileEntityMarket,PamMarket
com.pam.harvestcraft.TileEntityOven,PamOven
com.pam.harvestcraft.TileEntityPamApiary,PamApiary
com.pam.harvestcraft.TileEntityPamPresser,PamPresser
com.rwtema.extrautils.tileentity.TileEntityAntiMobTorch,TileEntityAntiMobTorch
com.rwtema.extrautils.tileentity.TileEntityBUD,TileEntityBUD
com.rwtema.extrautils.tileentity.TileEntityBlockColorData,TileEntityBlockColorData
com.rwtema.extrautils.tileentity.TileEntityDrum,drum
com.rwtema.extrautils.tileentity.TileEntityEnchantedSpike,TileEntityEnchantedSpike
com.rwtema.extrautils.tileentity.TileEntityEnderThermicLavaPump,enderPump
com.rwtema.extrautils.tileentity.TileEntityFilingCabinet,TileEntityFilingCabinet
com.rwtema.extrautils.tileentity.TileEntityPortal,TileEntityPortal
com.rwtema.extrautils.tileentity.TileEntityRainMuffler,TileEntityRainMuffler
com.rwtema.extrautils.tileentity.TileEntitySoundMuffler,TileEntitySoundMuffler
com.rwtema.extrautils.tileentity.TileEntityTradingPost,TileEntityTradingPost
com.rwtema.extrautils.tileentity.TileEntityTrashCan,TileEntityTrashCan
com.rwtema.extrautils.tileentity.enderconstructor.TileEnderConstructor,TileEnderConstructor
com.rwtema.extrautils.tileentity.enderconstructor.TileEnderPillar,TileEnderPillar
com.rwtema.extrautils.tileentity.enderquarry.TileEntityEnderMarker,TileEntityEnderMarker
com.rwtema.extrautils.tileentity.enderquarry.TileEntityEnderQuarry,enderQuarry
com.rwtema.extrautils.tileentity.generators.TileEntityGeneratorEnder,extrautils:generatorender
com.rwtema.extrautils.tileentity.generators.TileEntityGeneratorFood,extrautils:generatorfood
com.rwtema.extrautils.tileentity.generators.TileEntityGeneratorFurnace,extrautils:generatorbase
com.rwtema.extrautils.tileentity.generators.TileEntityGeneratorFurnaceOverClocked,extrautils:generatoroverclocked
com.rwtema.extrautils.tileentity.generators.TileEntityGeneratorFurnaceSurvival,extrautils:generatorstone
com.rwtema.extrautils.tileentity.generators.TileEntityGeneratorMagma,extrautils:generatorlava
